事项类别,牵头部门,发布部门,文档标题,发布日期,正文字数,来源URL,本地文件
科教文体,芜湖市教育局,芜湖市科学技术局,关于组织开展2025年度芜湖市公共服务平台验收工作的通知,2026-08-05,1156,https://kjj.wuhu.gov.cn/gg/tzgg/8948290.html,科教文体/芜湖市科学技术局/2026-08-05_关于组织开展2025年度芜湖市公共服务平台验收工作的通知_97f6f5c3a1.md
科教文体,芜湖市教育局,芜湖市科学技术局,关于开展芜湖市2026年度科技型中小企业评价服务工作的通知,2026-06-22,2245,https://kjj.wuhu.gov.cn/gg/tzgg/8938358.html,科教文体/芜湖市科学技术局/2026-06-22_关于开展芜湖市2026年度科技型中小企业评价服务工作的通知_e122d1561b.md
科教文体,芜湖市教育局,芜湖市科学技术局,关于集中开展市科技咨询专家库更新工作的通知,2025-12-18,2103,https://kjj.wuhu.gov.cn/gg/tzgg/8894580.html,科教文体/芜湖市科学技术局/2025-12-18_关于集中开展市科技咨询专家库更新工作的通知_410310238f.md
科教文体,芜湖市教育局,芜湖市文化和旅游局,关于对未按时缴纳旅游服务质量保证金的旅行社予以责令整改的通告,2026-07-22,776,https://ct.wuhu.gov.cn/xwzx/tzgg/8944998.html,科教文体/芜湖市文化和旅游局/2026-07-22_关于对未按时缴纳旅游服务质量保证金的旅行社予以责令整改的通告_7b1bffc71d.md
科教文体,芜湖市教育局,芜湖市文化和旅游局,2025年元旦文明安全出行提示,2024-12-26,776,https://ct.wuhu.gov.cn/xwzx/ztzl/wmly/8696038.html,科教文体/芜湖市文化和旅游局/2024-12-26_2025年元旦文明安全出行提示_6c34f788e2.md
科教文体,芜湖市教育局,芜湖市文化和旅游局,芜湖市某网络科技有限公司未按规定核对、登记上网消费者的有效身份证件案,2024-07-01,847,https://ct.wuhu.gov.cn/xwzx/ztzl/wmly/8645433.html,科教文体/芜湖市文化和旅游局/2024-07-01_芜湖市某网络科技有限公司未按规定核对、登记上网消费者的有效身份证件案_9ae65db760.md
科教文体,芜湖市教育局,芜湖市体育局,关于芜湖市体育局公开选聘法律顾问的通知,2026-07-14,5569,https://tyj.wuhu.gov.cn/xwzx/tzgg/8942871.html,科教文体/芜湖市体育局/2026-07-14_关于芜湖市体育局公开选聘法律顾问的通知_afd2146b28.md
劳动和社会保障,芜湖市人力资源和社会保障局,芜湖市人力资源和社会保障局,芜湖市关于灵活就业人员2025年度企业职工基本养老保险缴费期限的温馨提示,2026-04-28,923,https://rsj.wuhu.gov.cn/xwzx/tzgg/8925697.html,劳动和社会保障/芜湖市人力资源和社会保障局/2026-04-28_芜湖市关于灵活就业人员2025年度企业职工基本养老保险缴费期限的温馨提示_144ecaf5b4.md
劳动和社会保障,芜湖市人力资源和社会保障局,芜湖市人力资源和社会保障局,政策法规科,2026-06-24,207,https://rsj.wuhu.gov.cn/openness/public/6596391/14677621.html,劳动和社会保障/芜湖市人力资源和社会保障局/2026-06-24_政策法规科_5dbfe466e6.md
劳动和社会保障,芜湖市人力资源和社会保障局,芜湖市人力资源和社会保障局,关于抽查2026年度环境影响评价工程师和注册计量师职业资格考试成绩合格人员报考资格的通知,2026-08-24,1016,https://rsj.wuhu.gov.cn/xwzx/tzgg/8951543.html,劳动和社会保障/芜湖市人力资源和社会保障局/2026-08-24_关于抽查2026年度环境影响评价工程师和注册计量师职业资格考试成绩合格人员报考资格的通知_65910fb77b.md
劳动和社会保障,芜湖市人力资源和社会保障局,芜湖市人力资源和社会保障局,关于开展2026年度全市工程系列中（初）级专业技术资格评审工作的通知,2026-08-21,5302,https://rsj.wuhu.gov.cn/xwzx/tzgg/8951156.html,劳动和社会保障/芜湖市人力资源和社会保障局/2026-08-21_关于开展2026年度全市工程系列中(初)级专业技术资格评审工作的通知_54cc8f6516.md
劳动和社会保障,芜湖市人力资源和社会保障局,芜湖市人力资源和社会保障局,关于做好2026年度全市专业技术资格评审工作的通知,2026-08-20,7220,https://rsj.wuhu.gov.cn/xwzx/tzgg/8950805.html,劳动和社会保障/芜湖市人力资源和社会保障局/2026-08-20_关于做好2026年度全市专业技术资格评审工作的通知_3c1dde6948.md
劳动和社会保障,芜湖市人力资源和社会保障局,芜湖市人力资源和社会保障局,关于开展2025年度劳务派遣单位经营情况核验和信用评价工作的通知,2026-02-06,2023,https://rsj.wuhu.gov.cn/ztzl/yhyshj/bmwj/8920276.html,劳动和社会保障/芜湖市人力资源和社会保障局/2026-02-06_关于开展2025年度劳务派遣单位经营情况核验和信用评价工作的通知_9b9e9a8767.md
劳动和社会保障,芜湖市人力资源和社会保障局,芜湖市人力资源和社会保障局,关于举办2026年芜湖市高技能人才研修班的通知,2026-06-10,1673,https://rsj.wuhu.gov.cn/ztzl/jnzlqc/8935905.html,劳动和社会保障/芜湖市人力资源和社会保障局/2026-06-10_关于举办2026年芜湖市高技能人才研修班的通知_54a13d5689.md
劳动和社会保障,芜湖市人力资源和社会保障局,芜湖市医疗保障局,市医疗保障局：召开芜湖市医保定点医药机构资源配置规划实施成效新闻发布会,2026-06-30,438,https://ybj.wuhu.gov.cn/gzdt/8939838.html,劳动和社会保障/芜湖市医疗保障局/2026-06-30_市医疗保障局_召开芜湖市医保定点医药机构资源配置规划实施成效新闻发布会_28d7897e4d.md
劳动和社会保障,芜湖市人力资源和社会保障局,芜湖市医疗保障局,医保政策“明白纸”—职工医保篇,2026-07-03,3611,https://ybj.wuhu.gov.cn/ztzl/ybzszl/czzgybp/8675160.html,劳动和社会保障/芜湖市医疗保障局/2026-07-03_医保政策“明白纸”—职工医保篇_ef8a11fc09.md
劳动和社会保障,芜湖市人力资源和社会保障局,芜湖市医疗保障局,医保政策“明白纸”—办事服务篇,2026-03-31,2538,https://ybj.wuhu.gov.cn/ztzl/ybzszl/qt/8675167.html,劳动和社会保障/芜湖市医疗保障局/2026-03-31_医保政策“明白纸”—办事服务篇_b9e17ab1e2.md
劳动和社会保障,芜湖市人力资源和社会保障局,芜湖市医疗保障局,芜湖网上办理医保业务流程,2026-02-04,2280,https://ybj.wuhu.gov.cn/ztzl/ybzszl/qt/8368096.html,劳动和社会保障/芜湖市医疗保障局/2026-02-04_芜湖网上办理医保业务流程_9ae7fb936a.md
农林水土,芜湖市农业农村局,芜湖市农业农村局,市农业农村局（乡村振兴局）机构简介,2024-03-26,246,https://nync.wuhu.gov.cn/openness/public/6596611/40029583.html,农林水土/芜湖市农业农村局/2024-03-26_市农业农村局(乡村振兴局)机构简介_52121d08b3.md
农林水土,芜湖市农业农村局,芜湖市自然资源和规划局（林业局）,接受调查通知书（送达公告）,2026-07-01,747,https://zrzyhghj.wuhu.gov.cn/xwzx/tzgg/8940100.html,农林水土/芜湖市自然资源和规划局（林业局）/2026-07-01_接受调查通知书(送达公告)_c79666e26a.md
生态环境,芜湖市生态环境局,芜湖市生态环境局,关于芜湖浩鑫汽车零部件有限公司包装材料生产项目环境影响报告表审批意见的函,2026-08-27,1965,https://sthjj.wuhu.gov.cn/hbyw/hjsp/jsxmhpsp/8952347.html,生态环境/芜湖市生态环境局/2026-08-27_关于芜湖浩鑫汽车零部件有限公司包装材料生产项目环境影响报告表审批意见的函_6448598f14.md
生态环境,芜湖市生态环境局,芜湖市生态环境局,信访办理情况(2026年7月),2026-08-04,694,https://sthjj.wuhu.gov.cn/hbyw/hjjc/xfts/8950011.html,生态环境/芜湖市生态环境局/2026-08-04_信访办理情况(2026年7月)_b992a98626.md
生态环境,芜湖市生态环境局,芜湖市生态环境局,信访办理情况(2026年6月),2026-07-14,977,https://sthjj.wuhu.gov.cn/hbyw/hjjc/xfts/8942634.html,生态环境/芜湖市生态环境局/2026-07-14_信访办理情况(2026年6月)_eb970d566d.md
生态环境,芜湖市生态环境局,芜湖市生态环境局,信访办理情况(2026年5月),2026-05-30,1073,https://sthjj.wuhu.gov.cn/hbyw/hjjc/xfts/8942628.html,生态环境/芜湖市生态环境局/2026-05-30_信访办理情况(2026年5月)_24cc028f7e.md
生态环境,芜湖市生态环境局,芜湖市生态环境局,信访办理情况(2026年4月),2026-05-20,831,https://sthjj.wuhu.gov.cn/hbyw/hjjc/xfts/8930795.html,生态环境/芜湖市生态环境局/2026-05-20_信访办理情况(2026年4月)_4d019139a9.md
生态环境,芜湖市生态环境局,芜湖市生态环境局,关于安徽自贸区芜湖片区内企业递交环评审批申请材料的邮箱账号的通知,2022-03-22,190,https://sthjj.wuhu.gov.cn/ztzl/whzmqgs/8348396.html,生态环境/芜湖市生态环境局/2022-03-22_关于安徽自贸区芜湖片区内企业递交环评审批申请材料的邮箱账号的通知_d3c0f1ba13.md
市场监管,芜湖市市场监督管理局,芜湖市市场监督管理局,芜湖市市场监督管理局机构简介,2026-06-17,229,https://amr.wuhu.gov.cn/public/content/26289711,市场监管/芜湖市市场监督管理局/2026-06-17_芜湖市市场监督管理局机构简介_e5d1774213.md
市场监管,芜湖市市场监督管理局,芜湖市市场监督管理局,安徽省医药创新柔性服务芜湖工作站（筹）关于开通企业线上诉求征集渠道的通告,2026-06-10,1090,https://amr.wuhu.gov.cn/xwdt/tzgg/8935737.html,市场监管/芜湖市市场监督管理局/2026-06-10_安徽省医药创新柔性服务芜湖工作站(筹)关于开通企业线上诉求征集渠道的通告_20e7057fac.md
市场监管,芜湖市市场监督管理局,芜湖市市场监督管理局,芜湖市鸠江区市场监督管理局关于清理长期停业未经营企业的提示性公告,2026-08-14,553,https://amr.wuhu.gov.cn/xwdt/tzgg/8949839.html,市场监管/芜湖市市场监督管理局/2026-08-14_芜湖市鸠江区市场监督管理局关于清理长期停业未经营企业的提示性公告_dd69f8e1e6.md
市场监管,芜湖市市场监督管理局,芜湖市市场监督管理局,芜湖市市场监管局12315中心2026年第一季度消费投诉分析,2026-04-10,223,https://amr.wuhu.gov.cn/ztzl/zj315scjgzxd/8923127.html,市场监管/芜湖市市场监督管理局/2026-04-10_芜湖市市场监管局12315中心2026年第一季度消费投诉分析_2d3a6025cc.md
市场监管,芜湖市市场监督管理局,芜湖市市场监督管理局,2026年度芜湖市市场监督管理局普法责任清单,2026-01-30,2512,https://amr.wuhu.gov.cn/ztzl/qwpfxczl/8905134.html,市场监管/芜湖市市场监督管理局/2026-01-30_2026年度芜湖市市场监督管理局普法责任清单_a113b9f25a.md
市场监管,芜湖市市场监督管理局,芜湖市市场监督管理局,芜湖市消保委、市市场监管局在《公民与法——普法之声》开展消费维权互动活动,2025-03-18,650,https://amr.wuhu.gov.cn/ztzl/qwpfxczl/8740082.html,市场监管/芜湖市市场监督管理局/2025-03-18_芜湖市消保委、市市场监管局在《公民与法——普法之声》开展消费维权互动活动_3509961dd0.md
市场监管,芜湖市市场监督管理局,芜湖市市场监督管理局,2025年度芜湖市市场监督管理局普法责任清单,2025-01-24,2262,https://amr.wuhu.gov.cn/ztzl/qwpfxczl/8695740.html,市场监管/芜湖市市场监督管理局/2025-01-24_2025年度芜湖市市场监督管理局普法责任清单_7e7704957b.md
卫生健康,芜湖市卫生健康委员会,芜湖市卫生健康委员会,2026年医师资格考试医学综合考试 芜湖考点考试提示,2026-08-18,236,https://wsjkw.wuhu.gov.cn/xwdt/tzgg/8950285.html,卫生健康/芜湖市卫生健康委员会/2026-08-18_2026年医师资格考试医学综合考试 芜湖考点考试提示_936867046f.md
卫生健康,芜湖市卫生健康委员会,芜湖市卫生健康委员会,安徽省2026年医师资格考试医学综合考试温馨提示,2026-08-14,950,https://wsjkw.wuhu.gov.cn/xwdt/tzgg/8949764.html,卫生健康/芜湖市卫生健康委员会/2026-08-14_安徽省2026年医师资格考试医学综合考试温馨提示_935db5d532.md
城市管理,芜湖市城市管理局,芜湖市城市管理局,芜湖市城市管理条例,2023-05-10,309,https://cgj.wuhu.gov.cn/zjcg/flfg/8331234.html,城市管理/芜湖市城市管理局/2023-05-10_芜湖市城市管理条例_ebdd74e151.md
城市管理,芜湖市城市管理局,芜湖市城市管理局,芜湖市优化营商环境条例,2023-04-12,5195,https://cgj.wuhu.gov.cn/zjcg/flfg/8410149.html,城市管理/芜湖市城市管理局/2023-04-12_芜湖市优化营商环境条例_93c710f691.md
经济财贸,芜湖市发展和改革委员会,芜湖市发展和改革委员会,芜湖市发展和改革委员会关于公布市发改委及下属单位综合性涉企收费目录清单的公告,2025-11-25,2478,https://whfgw.wuhu.gov.cn/fgqd/sqsfqd/8885880.html,经济财贸/芜湖市发展和改革委员会/2025-11-25_芜湖市发展和改革委员会关于公布市发改委及下属单位综合性涉企收费目录清单的公告_92efc0b92b.md
经济财贸,芜湖市发展和改革委员会,芜湖市发展和改革委员会,芜湖市发改委关于公布芜湖市市区实行政府定价管理的供电供水供气供热行业收费清单,2025-10-31,3371,https://whfgw.wuhu.gov.cn/fgqd/sqsfqd/8892394.html,经济财贸/芜湖市发展和改革委员会/2025-10-31_芜湖市发改委关于公布芜湖市市区实行政府定价管理的供电供水供气供热行业收费清单_68e841bf2f.md
经济财贸,芜湖市发展和改革委员会,芜湖市发展和改革委员会,芜湖市发展和改革委员会关于公布芜湖市实行政府定价管理的经营服务性收费目录清单的通知（2026版）,2025-10-28,891,https://whfgw.wuhu.gov.cn/fgqd/sqsfqd/8883347.html,经济财贸/芜湖市发展和改革委员会/2025-10-28_芜湖市发展和改革委员会关于公布芜湖市实行政府定价管理的经营服务性收费目录清单的通知(2026版)_cfdc4931ee.md
经济财贸,芜湖市发展和改革委员会,芜湖市发展和改革委员会,芜湖市发展和改革委员会 芜湖市财政局 芜湖市工业和信息化局关于公布芜湖市市级涉企收费清单（2025年）的通知,2025-10-14,460,https://whfgw.wuhu.gov.cn/fgqd/sqsfqd/8883350.html,经济财贸/芜湖市发展和改革委员会/2025-10-14_芜湖市发展和改革委员会 芜湖市财政局 芜湖市工业和信息化局关于公布芜湖市市级涉企收费清单(2025年)的通知_4cc2879e89.md
劳动和社会保障,芜湖市人力资源和社会保障局,芜湖市人力资源和社会保障局,市人社局高频服务事项办事指南,2021-10-19,9441,https://rsj.wuhu.gov.cn/ztzl/yhyshj/fwzn/8300547.html,劳动和社会保障/芜湖市人力资源和社会保障局/2021-10-19_市人社局高频服务事项办事指南_08fd552e22.md
农林水土,芜湖市农业农村局,芜湖市农业农村局,芜湖市农业农村局关于农药兽药领域违法违规线索投诉举报渠道的公告,2026-08-03,849,https://nync.wuhu.gov.cn/nyzx/tzgg/8947395.html,农林水土/芜湖市农业农村局/2026-08-03_芜湖市农业农村局关于农药兽药领域违法违规线索投诉举报渠道的公告_57868039d3.md
经济财贸,芜湖市发展和改革委员会,芜湖市发展和改革委员会,关于建立部门综合性涉企收费目录清单制度有关工作的通知,2025-06-17,2650,https://whfgw.wuhu.gov.cn/fgqd/sqsfqd/8814061.html,经济财贸/芜湖市发展和改革委员会/2025-06-17_关于建立部门综合性涉企收费目录清单制度有关工作的通知_718581cca3.md
经济财贸,芜湖市发展和改革委员会,芜湖市发展和改革委员会,转发安徽省发展改革委安徽省工业和信息化厅安徽省财政厅安徽省市场监管局关于严格落实涉企收费监管政策的通知,2025-05-27,3126,https://whfgw.wuhu.gov.cn/fgqd/sqsfqd/8799173.html,经济财贸/芜湖市发展和改革委员会/2025-05-27_转发安徽省发展改革委安徽省工业和信息化厅安徽省财政厅安徽省市场监管局关于严格落实涉企收费监管政策的通知_aa9a0df2a5.md
城市管理,芜湖市城市管理局,芜湖市城市管理局,关于在全省住房城乡建设执法领域推行承诺轻罚制度的通知,2024-04-29,13315,https://cgj.wuhu.gov.cn/zjcg/flfg/8645113.html,城市管理/芜湖市城市管理局/2024-04-29_关于在全省住房城乡建设执法领域推行承诺轻罚制度的通知_32da89b745.md
公共服务,芜湖市民政局,芜湖市民政局,社会救助政策——刚性支出困难家庭,2026-06-15,669,https://mzj.wuhu.gov.cn/zcfg/8949396.html,公共服务/芜湖市民政局/2026-06-15_社会救助政策——刚性支出困难家庭_3f666e196b.md
公共服务,芜湖市民政局,芜湖市民政局,社会救助政策——最低生活保障边缘家庭、低收入家庭,2026-05-28,773,https://mzj.wuhu.gov.cn/zcfg/8949399.html,公共服务/芜湖市民政局/2026-05-28_社会救助政策——最低生活保障边缘家庭、低收入家庭_70aacba8cf.md
公共服务,芜湖市民政局,芜湖市民政局,社会救助政策——临时救助,2026-05-20,1550,https://mzj.wuhu.gov.cn/zcfg/8949402.html,公共服务/芜湖市民政局/2026-05-20_社会救助政策——临时救助_b32e620206.md
经济财贸,芜湖市发展和改革委员会,芜湖市发展和改革委员会,安徽省发展改革委安徽工业和信息化厅安徽省民政厅安徽省财政厅安徽省市场监管局关于进一步规范重点领域涉企收费行为的通知,2026-04-17,2173,https://whfgw.wuhu.gov.cn/fgqd/sqsfqd/8929909.html,经济财贸/芜湖市发展和改革委员会/2026-04-17_安徽省发展改革委安徽工业和信息化厅安徽省民政厅安徽省财政厅安徽省市场监管局关于进一步规范重点领域涉企收费行为的通知_502f7d5c41.md
城市管理,芜湖市城市管理局,芜湖市城市管理局,关于印发《芜湖市市区桥下空间管理办法》的通知,2025-12-10,3125,https://cgj.wuhu.gov.cn/openness/public/6596781/40430116.html,城市管理/芜湖市城市管理局/2025-12-10_关于印发《芜湖市市区桥下空间管理办法》的通知_861d654970.md
城市管理,芜湖市城市管理局,芜湖市城市管理局,《芜湖市市区桥下空间管理办法》政策解读,2025-12-17,2789,https://cgj.wuhu.gov.cn/openness/public/6596781/40431088.html,城市管理/芜湖市城市管理局/2025-12-17_《芜湖市市区桥下空间管理办法》政策解读_7b7ceade1d.md
城市管理,芜湖市城市管理局,芜湖市城市管理局,关于印发《关于办理擅自倾倒、堆放、丢弃、遗撒建筑垃圾和生活垃圾适用行政拘留案件的意见》的通知,2025-11-05,2761,https://cgj.wuhu.gov.cn/openness/public/6596781/41175598.html,城市管理/芜湖市城市管理局/2025-11-05_关于印发《关于办理擅自倾倒、堆放、丢弃、遗撒建筑垃圾和生活垃圾适用行政拘留案件的意见》的通知_5017747823.md
城市管理,芜湖市城市管理局,芜湖市城市管理局,【媒体解读】这种行为造成严重后果，将被行拘！ 芜湖市从严查处违法倾倒垃圾行为,2025-12-15,1367,https://cgj.wuhu.gov.cn/openness/public/6596781/41175601.html,"城市管理/芜湖市城市管理局/2025-12-15_【媒体解读】这种行为造成严重后果,将被行拘! 芜湖市从严查处违法倾倒垃圾行为_311cbb3977.md"
城市管理,芜湖市城市管理局,芜湖市城市管理局,文件清理：芜湖市城市管理局废止和失效规范性文件目录（截至2025年9月30日）,2025-09-30,1382,https://cgj.wuhu.gov.cn/openness/public/6596781/40297276.html,城市管理/芜湖市城市管理局/2025-09-30_文件清理_芜湖市城市管理局废止和失效规范性文件目录(截至2025年9月30日)_a817137d3f.md
城市管理,芜湖市城市管理局,芜湖市城市管理局,文件清理：芜湖市城市管理局现行有效规范性文件目录（截至2025年9月30日）,2025-09-30,705,https://cgj.wuhu.gov.cn/openness/public/6596781/40297273.html,城市管理/芜湖市城市管理局/2025-09-30_文件清理_芜湖市城市管理局现行有效规范性文件目录(截至2025年9月30日)_d69e27f25f.md
城乡建设,芜湖市住房和城乡建设局,芜湖市住房和城乡建设局,文件制定：《芜湖市房屋使用安全管理条例实施细则》集体讨论决定情况,2026-07-10,389,https://zjw.wuhu.gov.cn/openness/public/6596411/41236960.html,城乡建设/芜湖市住房和城乡建设局/2026-07-10_文件制定_《芜湖市房屋使用安全管理条例实施细则》集体讨论决定情况_430543280a.md
城乡建设,芜湖市住房和城乡建设局,芜湖市住房和城乡建设局,文件制定：《芜湖市房屋使用安全管理条例实施细则》合法性审查情况,2026-07-10,395,https://zjw.wuhu.gov.cn/openness/public/6596411/41236957.html,城乡建设/芜湖市住房和城乡建设局/2026-07-10_文件制定_《芜湖市房屋使用安全管理条例实施细则》合法性审查情况_5f6fcc3386.md
城乡建设,芜湖市住房和城乡建设局,芜湖市住房和城乡建设局,文件制定：《芜湖市房屋使用安全管理条例实施细则》社会稳定风险评估和网络舆情风险评估情况,2026-07-10,537,https://zjw.wuhu.gov.cn/openness/public/6596411/41236954.html,城乡建设/芜湖市住房和城乡建设局/2026-07-10_文件制定_《芜湖市房屋使用安全管理条例实施细则》社会稳定风险评估和网络舆情风险评估情况_2f5066d73e.md
城乡建设,芜湖市住房和城乡建设局,芜湖市住房和城乡建设局,文件制定：《芜湖市房屋使用安全管理条例实施细则》专家论证情况,2026-07-10,415,https://zjw.wuhu.gov.cn/openness/public/6596411/41236948.html,城乡建设/芜湖市住房和城乡建设局/2026-07-10_文件制定_《芜湖市房屋使用安全管理条例实施细则》专家论证情况_7ae802eb36.md
城乡建设,芜湖市住房和城乡建设局,芜湖市住房和城乡建设局,关于进一步加强芜湖市住房租赁市场管理工作的通知,2026-06-22,1265,https://zjw.wuhu.gov.cn/openness/public/6596411/41223706.html,城乡建设/芜湖市住房和城乡建设局/2026-06-22_关于进一步加强芜湖市住房租赁市场管理工作的通知_1194a782c2.md
城乡建设,芜湖市住房和城乡建设局,芜湖市住房和城乡建设局,关于印发《芜湖市海绵城市建设豁免清单》的通知,2026-06-04,1760,https://zjw.wuhu.gov.cn/openness/public/6596411/41189908.html,城乡建设/芜湖市住房和城乡建设局/2026-06-04_关于印发《芜湖市海绵城市建设豁免清单》的通知_75d70009ec.md
城乡建设,芜湖市住房和城乡建设局,芜湖市住房和城乡建设局,《芜湖市海绵城市建设豁免清单》政策解读,2026-07-02,3230,https://zjw.wuhu.gov.cn/openness/public/6596411/41226568.html,城乡建设/芜湖市住房和城乡建设局/2026-07-02_《芜湖市海绵城市建设豁免清单》政策解读_fcf621fcfe.md
城乡建设,芜湖市住房和城乡建设局,芜湖市住房和城乡建设局,文件制定：《关于调整芜湖市市区住宅房屋征收补助、奖励标准的通知》集体讨论决定情况,2026-05-28,402,https://zjw.wuhu.gov.cn/openness/public/6596411/41175706.html,城乡建设/芜湖市住房和城乡建设局/2026-05-28_文件制定_《关于调整芜湖市市区住宅房屋征收补助、奖励标准的通知》集体讨论决定情况_dd5eb0d929.md
公共安全,芜湖市公安局,芜湖市公安局,关于继续沿用《芜湖市轨道交通禁止限制携带物品目录》的通知,2026-06-16,922,https://gaj.wuhu.gov.cn/openness/public/6596351/41214772.html,公共安全/芜湖市公安局/2026-06-16_关于继续沿用《芜湖市轨道交通禁止限制携带物品目录》的通知_1ff4092110.md
公共安全,芜湖市公安局,芜湖市公安局,《芜湖市轨道交通禁止限制携带物品目录》文字解读,2026-06-17,2912,https://gaj.wuhu.gov.cn/openness/public/6596351/41214706.html,公共安全/芜湖市公安局/2026-06-17_《芜湖市轨道交通禁止限制携带物品目录》文字解读_7ab73ee3ea.md
公共安全,芜湖市公安局,芜湖市公安局,关于印发《芜湖市重点管理区内禁养烈性犬只名录》的通知,2026-05-27,1336,https://gaj.wuhu.gov.cn/openness/public/6596351/41217967.html,公共安全/芜湖市公安局/2026-05-27_关于印发《芜湖市重点管理区内禁养烈性犬只名录》的通知_0403fd2980.md
公共安全,芜湖市公安局,芜湖市公安局,关于《芜湖市重点管理区内禁养烈性犬只名录》政策解读,2026-05-27,785,https://gaj.wuhu.gov.cn/openness/public/6596351/41217976.html,公共安全/芜湖市公安局/2026-05-27_关于《芜湖市重点管理区内禁养烈性犬只名录》政策解读_d6aea36501.md
公共安全,芜湖市公安局,芜湖市公安局,关于加强全市烟花爆竹安全管理的通告,2025-11-12,1209,https://gaj.wuhu.gov.cn/openness/public/6596351/40393153.html,公共安全/芜湖市公安局/2025-11-12_关于加强全市烟花爆竹安全管理的通告_6cc81788e6.md
公共安全,芜湖市公安局,芜湖市公安局,《关于加强全市烟花爆竹安全管理的通告》简明问答,2025-11-18,876,https://gaj.wuhu.gov.cn/openness/public/6596351/40459342.html,公共安全/芜湖市公安局/2025-11-18_《关于加强全市烟花爆竹安全管理的通告》简明问答_99bed3ee7e.md
公共服务,芜湖市民政局,芜湖市民政局,安徽省人民政府办公厅关于印发《安徽省推进养老事业和养老产业协同发展行动计划（2024—2026年）》的通知,2024-11-27,5394,https://mzj.wuhu.gov.cn/zcfg/8674032.html,公共服务/芜湖市民政局/2024-11-27_安徽省人民政府办公厅关于印发《安徽省推进养老事业和养老产业协同发展行动计划(2024—2026年)》的通知_5dcc649d64.md
公共服务,芜湖市民政局,芜湖市民政局,关于印发《关于进一步促进养老服务消费 提升老年人生活品质的若干措施》的通知,2024-11-08,6665,https://mzj.wuhu.gov.cn/zcfg/8674035.html,公共服务/芜湖市民政局/2024-11-08_关于印发《关于进一步促进养老服务消费 提升老年人生活品质的若干措施》的通知_018ecba5ba.md
交通运输,芜湖市交通运输局,芜湖市交通运输局,文件备案：芜湖市交通运输局2025年度规范性文件备案信息,2025-12-18,469,https://jtj.wuhu.gov.cn/openness/public/6596421/40431370.html,交通运输/芜湖市交通运输局/2025-12-18_文件备案_芜湖市交通运输局2025年度规范性文件备案信息_e58057aad4.md
交通运输,芜湖市交通运输局,芜湖市交通运输局,文件制定：《芜湖市网络预约出租汽车经营服务管理实施细则》集体讨论决定情况,2025-11-06,367,https://jtj.wuhu.gov.cn/openness/public/6596421/40362985.html,交通运输/芜湖市交通运输局/2025-11-06_文件制定_《芜湖市网络预约出租汽车经营服务管理实施细则》集体讨论决定情况_a919a1769a.md
交通运输,芜湖市交通运输局,芜湖市交通运输局,文件制定：《芜湖市网络预约出租汽车经营服务管理实施细则》合法性审查情况,2025-10-20,477,https://jtj.wuhu.gov.cn/openness/public/6596421/40320658.html,交通运输/芜湖市交通运输局/2025-10-20_文件制定_《芜湖市网络预约出租汽车经营服务管理实施细则》合法性审查情况_511ada2d63.md
交通运输,芜湖市交通运输局,芜湖市交通运输局,文件清理：芜湖市交通运输局废止和失效规范性文件目录（截至2025年9月30日）,2025-09-30,405,https://jtj.wuhu.gov.cn/openness/public/6596421/40427407.html,交通运输/芜湖市交通运输局/2025-09-30_文件清理_芜湖市交通运输局废止和失效规范性文件目录(截至2025年9月30日)_e6219adf0f.md
交通运输,芜湖市交通运输局,芜湖市交通运输局,文件清理：芜湖市交通运输局现行有效规范性文件目录（截至9月30日）,2025-09-30,522,https://jtj.wuhu.gov.cn/openness/public/6596421/40395064.html,交通运输/芜湖市交通运输局/2025-09-30_文件清理_芜湖市交通运输局现行有效规范性文件目录(截至9月30日)_1402938687.md
交通运输,芜湖市交通运输局,芜湖市交通运输局,文件制定：《芜湖市网络预约出租汽车经营服务管理实施细则》专家论证情况,2025-08-19,474,https://jtj.wuhu.gov.cn/openness/public/6596421/40204093.html,交通运输/芜湖市交通运输局/2025-08-19_文件制定_《芜湖市网络预约出租汽车经营服务管理实施细则》专家论证情况_c7f61033de.md
交通运输,芜湖市交通运输局,芜湖市交通运输局,文件制定：市交通运输局组织开展《芜湖市网络预约出租汽车经营服务管理实施细则》风险评估,2025-08-19,513,https://jtj.wuhu.gov.cn/openness/public/6596421/40204090.html,交通运输/芜湖市交通运输局/2025-08-19_文件制定_市交通运输局组织开展《芜湖市网络预约出租汽车经营服务管理实施细则》风险评估_01dba03dc8.md
交通运输,芜湖市交通运输局,芜湖市交通运输局,芜湖市交通运输局关于延长我市出租汽车从业人员从业年龄的通知,2025-06-23,2487,https://jtj.wuhu.gov.cn/openness/public/6596421/40129696.html,交通运输/芜湖市交通运输局/2025-06-23_芜湖市交通运输局关于延长我市出租汽车从业人员从业年龄的通知_359f8e7e1f.md
交通运输,芜湖市交通运输局,芜湖市交通运输局,芜湖市交通运输局关于印发2025年全市交通运输依法行政暨法制工作要点和2025年全市交通运输行业法治宣传教育工作要点的通知,2025-04-07,4794,https://jtj.wuhu.gov.cn/openness/public/6596421/39966319.html,交通运输/芜湖市交通运输局/2025-04-07_芜湖市交通运输局关于印发2025年全市交通运输依法行政暨法制工作要点和2025年全市交通运输行业法治宣传教育工作要点的通知_d506244534.md
